Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,Sample,,,,,,,,,,,,,,
Natural T (°C),Natural T (°C),Natural T (°C),Natural T (°C),Natural T (°C),Natural T (°C),Natural T (°C),Natural T (°C),Natural T (°C),Natural T (°C),Natural T (°C),Natural T (°C),Natural T (°C),Natural T (°C),Natural T (°C),,,,,,,,,,,,,,
Natural Ḋ (Gy/ka),Natural Ḋ (Gy/ka),Natural Ḋ (Gy/ka),Natural Ḋ (Gy/ka),Natural Ḋ (Gy/ka),Natural Ḋ (Gy/ka),Natural Ḋ (Gy/ka),Natural Ḋ (Gy/ka),Natural Ḋ (Gy/ka),Natural Ḋ (Gy/ka),Natural Ḋ (Gy/ka),Natural Ḋ (Gy/ka),Natural Ḋ (Gy/ka),Natural Ḋ (Gy/ka),Natural Ḋ (Gy/ka),,,,,,,,,,,,L0,1.5200,
Lab calibration:,Lab calibration:,Lab calibration:,Lab calibration:,Lab calibration:,Lab calibration:,Lab calibration:,Lab calibration:,Lab calibration:,Lab calibration:,Lab calibration:,Lab calibration:,Lab calibration:,Lab calibration:,Lab calibration:,,,,,,,,,time,L,D,,,
T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),,,,,,0.000,0.063,,0.000,0.001,0,,,
Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),,,,,,0.010,0.021,,0.543,0.631,49.956,93.13748166,,112.186335
T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),,,,,,0.020,0.010,,1.086,0.911,99.912,109.2355435,,
Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),,,,,,0.040,0.003,,2.715,1.256,249.78,142.689314,,
T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),,,,,,0.080,0.001,,5.429,1.436,499.468,172.489149,,
Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),,,,,,0.160,0.000,,10.858,1.509,998.936,202.6827114,,
T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),,,,,,0.320,0.000,,16.287,1.511,1498.404,292.1297692,,
Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),,,,,,0.640,0.000,,0.000,0.003,0,0,,
T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),,,,,,1.280,0.000,,1.086,0.902,99.912,111.0161511,,
Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),Ḋ (Gy/s),,,,,,2.560,0.000,,10.858,1.498,998.936,235.8527028,,
T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),T (°C),,,,,,5.120,0.000,,,,,,,
