simulation,time,ratio
0,27.107703721955392,0.01
0,53.23289676097238,0.01
0,67.60513970742309,0.01
0,108.97860926016602,0.01
0,121.05408728378099,0.01
0,128.8663778492398,0.01
0,160.34304933231127,0.01
0,172.56025218041577,0.01
0,175.72269428559272,0.01
0,180.61323057151256,0.01
0,206.67943859860316,0.01
0,228.4778818185551,0.01
0,243.2932775027218,0.01
0,247.18588332094387,0.01
0,256.47727580488424,0.01
0,259.06086200518683,0.01
0,271.933882441544,0.01
0,282.9249170071506,0.01
0,285.02848334538254,0.01
0,315.18531203328206,0.01
0,327.6889189149114,0.01
0,341.5851667022052,0.01
0,407.29959583824063,0.01
0,408.66611758633576,0.01
0,426.06826102214455,0.01
0,427.053252310003,0.01
0,448.03910143539645,0.01
0,467.22971636957766,0.01
0,469.27401273180305,0.01
0,478.55142222886667,0.01
0,493.98226658118216,0.01
0,520.0042378073483,0.01
0,520.4168389440499,0.01
0,526.6156418537901,0.01
0,539.7562302682544,0.01
0,550.5502140775919,0.36
0,552.4678515583335,0.36
0,567.3760594163141,0.36
0,569.8172419867677,0.36
0,577.0899955115526,0.36
0,585.2517050865946,0.36
0,595.2875635778231,0.36
0,685.2311949662309,0.36
0,731.9551150321113,0.36
0,749.7009659413675,0.36
0,794.17036390997,0.36
0,838.6570569611638,0.36
0,839.768723389838,0.36
0,840.0769290672864,0.36
0,847.4431440263812,0.36
0,874.3873916086499,0.36
0,876.9971858708285,0.36
0,880.7142563939518,0.36
0,898.3808913678832,0.36
0,942.4558745589925,0.36
0,964.9209992970058,0.36
0,997.7937409893547,0.36
0,1058.2319288612302,0.36
0,1082.9729316514936,0.36
0,1088.6662485194531,0.6
0,1100.5879706820585,0.6
0,1107.2612534531597,0.6
0,1124.6462821173757,0.6
0,1193.269956227132,0.6
0,1194.0458974256449,0.6
0,1210.4095341266316,0.6
0,1249.3439531350525,0.6
0,1270.1525278004872,0.6
0,1278.9149713493368,0.6
0,1342.8476004178885,0.6
0,1351.8538452097712,0.6
0,1356.2448763692926,0.6
0,1360.7069719944288,0.6
0,1363.3690321881645,0.6
0,1381.9571778059028,0.6
0,1386.9037782403132,0.6
0,1451.5486543907223,0.6
0,1459.8477976433953,0.6
0,1477.9385189812551,0.6
0,1560.542686552957,0.6
0,1608.7846271045298,0.6
0,1651.633837484231,0.6
0,1708.2542076509208,0.6
0,1724.22421100538,0.6
0,1745.8490513024913,0.6
0,1797.3564197495068,0.6
0,1933.9166986747932,0.6
0,1949.3941460785136,0.6
0,2173.952659345542,0.6
0,2267.436680274894,0.6
0,2488.6131899723237,0.6
0,2520.8145175213504,0.6
0,3282.1144012140003,0.93
0,3287.013346632042,0.93
0,3666.741623218812,0.93
0,4305.277425506372,0.93
