param_0,param_1,param_2,param_3,param_4,param_5,param_6,mse,rmse,NRMSE
0.00023507,2.062831707,0.544623214,7.26117E+13,8.09604E+12,44496574496,701.0320256,0.001554545,0.039427724,3.94%
0.000985789,2.113415203,0.575761592,6.61461E+13,7.98538E+12,4286461527,127.86785,0.002254545,0.047482054,4.75%
0.000881488,2.089390063,0.523028589,2.45236E+13,7.22151E+12,20650746333,137.4459858,0.002281818,0.047768381,4.78%
0.000460272,2.100532142,0.532238448,9.32001E+13,4.69937E+12,8531548557,276.66648,0.002390909,0.048896923,4.89%
0.000215215,2.036464746,0.529216718,4.21087E+13,6.39673E+12,44247434244,726.9963033,0.002427273,0.04926736,4.93%
0.000370045,1.922478331,0.510813625,4.61274E+13,1.90216E+12,31186232314,265.2726932,0.002527273,0.050271988,5.03%
0.000222331,1.781940323,0.521176864,9.12917E+13,6.30683E+12,4359841657,741.3684785,0.002890909,0.053767175,5.38%
0.000233398,2.008052526,0.557712623,5.67131E+13,9.57538E+12,24913342343,585.9123317,0.0029,0.053851648,5.39%
0.000339517,1.882097936,0.652362975,4.58109E+12,8.27292E+12,15107552691,656.1315228,0.002909091,0.053935989,5.39%
0.000427311,1.712895354,0.602182039,9.28758E+13,2.0002E+12,35513161836,399.0030054,0.002927273,0.054104276,5.41%
0.000305508,1.691374994,0.531220656,6.73571E+13,1.61219E+12,32321704304,517.9076261,0.002954545,0.054355731,5.44%
0.000283698,2.008002616,0.571642935,1.83904E+13,5.84192E+12,1858117420,568.3270027,0.003118182,0.055840682,5.58%
0.000668871,2.136934871,0.504627347,1.12146E+13,2.02901E+12,26414028135,126.7048693,0.003118182,0.055840682,5.58%
0.000523965,1.999247817,0.551658599,9.20641E+13,4.90013E+12,14143091821,202.0362896,0.003172727,0.056326968,5.63%
0.000372977,2.138964528,0.59383361,1.71196E+12,8.69037E+12,30743789680,636.3879552,0.003236364,0.056889047,5.69%
0.000297305,1.881107834,0.595260748,1.47149E+13,6.79889E+12,46457725767,671.3784544,0.003354545,0.057918438,5.79%
0.000403934,1.878604202,0.515475167,8.24421E+13,4.66604E+12,43611515855,275.744065,0.003354545,0.057918438,5.79%
0.000371116,2.03904794,0.519855347,6.63337E+13,3.96709E+12,42683862833,276.625113,0.003536364,0.059467333,5.95%
0.00029095,2.138155317,0.554242444,4.43796E+13,5.05125E+12,34039333743,545.0159544,0.003627273,0.060226844,6.02%
0.000222252,1.905596787,0.540947142,8.1258E+13,5.88987E+12,18723350164,648.323566,0.004054545,0.063675313,6.37%
0.000347815,1.946618193,0.580053711,4.81259E+12,7.67888E+12,29897443576,605.6637444,0.004190909,0.064737231,6.47%
0.000611078,1.764179495,0.535035416,5.7204E+13,3.2462E+12,27036822786,218.6392714,0.004372727,0.0661266,6.61%
0.000218895,1.834684805,0.507199896,5.5429E+13,5.05047E+12,28767643148,495.181446,0.004536364,0.067352533,6.74%
0.000975352,1.802652084,0.508088389,2.11961E+12,6.3659E+12,21145493711,199.4259799,0.004572727,0.067621944,6.76%
0.000487117,2.11666336,0.617879541,6.25207E+13,4.25652E+12,39554552199,373.1218755,0.004609091,0.067890286,6.79%
0.000959287,2.059483071,0.511847182,5.32276E+13,7.46499E+12,11580771292,161.5051337,0.004909091,0.070064905,7.01%
0.000645951,2.172657616,0.508648548,1.38199E+13,1.28842E+12,2902294744,199.157195,0.004981818,0.070581996,7.06%
0.000653921,2.185832586,0.634906484,1.55294E+13,2.10756E+12,10751319194,491.6076026,0.005172727,0.071921675,7.19%
0.000602226,1.798242509,0.682698233,6.93301E+13,4.8628E+12,21095244040,377.8031809,0.005336364,0.073050418,7.31%
0.000423722,1.954971078,0.704718143,2.64488E+13,9.4929E+12,13066330949,660.407499,0.005509091,0.07422325,7.42%
0.000753166,1.630767022,0.560479094,5.90101E+13,5.24543E+11,43870590217,276.7253028,0.005554545,0.074528823,7.45%
0.000375625,1.806338646,0.522038618,1.82347E+13,1.8673E+12,32594746750,446.8898639,0.005936364,0.077047801,7.70%
0.000658802,2.195039355,0.65900943,6.58239E+13,1.16543E+12,46848908831,409.2453813,0.006081818,0.077986013,7.80%
0.000814551,1.843459968,0.660809092,8.90273E+13,2.60699E+12,26878527189,221.1301691,0.006145455,0.07839295,7.84%
0.000967235,2.095216982,0.61702563,7.24931E+13,8.71946E+12,20211721427,170.9077759,0.006154545,0.078450911,7.85%
0.000492234,1.679646566,0.663104835,5.91882E+13,3.61407E+12,23176168566,715.3970405,0.006163636,0.07850883,7.85%
0.000274571,1.64856523,0.527769962,9.49268E+13,7.9304E+12,17115313328,477.3684937,0.006190909,0.07868233,7.87%
0.000729576,1.969317018,0.623291785,3.87112E+13,2.98776E+12,44172213377,323.9526935,0.006463636,0.080396743,8.04%
0.000482614,1.879498747,0.573355107,7.89474E+13,4.94561E+12,20147966819,344.1047698,0.006472727,0.080453261,8.05%
0.000551182,1.670141942,0.639129438,5.95782E+13,4.10476E+12,22267203088,413.2201396,0.0068,0.082462113,8.25%
0.000867197,1.901664673,0.598622176,6.77316E+13,1.00019E+12,45903591260,264.9772563,0.006863636,0.082847066,8.28%
,,,,,,,,,
,,,,,,,0.004283149,0.064403919,12.88%
